,date,user_id,operation_name,value_spent
0,2022-01-02,0,traffic,93
1,2022-01-03,0,sms,64
2,2022-01-04,0,call,96
3,2022-01-03,0,traffic,97
4,2022-01-03,0,traffic,50
5,2022-01-04,0,sms,23
6,2022-01-04,0,call,62
7,2022-01-05,0,call,75
8,2022-01-04,0,call,82
9,2022-01-05,0,traffic,45
10,2022-01-01,0,call,25
11,2022-01-01,0,call,28
12,2022-01-05,0,traffic,73
13,2022-01-05,0,call,62
14,2022-01-03,0,traffic,90
15,2022-01-03,0,call,50
16,2022-01-05,0,traffic,90
17,2022-01-05,0,sms,99
18,2022-01-05,0,sms,97
19,2022-01-02,0,sms,65
20,2022-01-05,0,sms,46
21,2022-01-02,0,sms,27
22,2022-01-03,0,call,84
23,2022-01-02,0,sms,34
24,2022-01-05,0,sms,38
25,2022-01-04,0,call,27
26,2022-01-04,0,sms,1
27,2022-01-04,0,call,8
28,2022-01-03,0,sms,13
29,2022-01-05,0,call,45
30,2022-01-02,0,traffic,52
31,2022-01-01,0,traffic,27
32,2022-01-04,0,call,10
33,2022-01-03,0,sms,95
34,2022-01-05,0,traffic,65
35,2022-01-05,0,traffic,20
36,2022-01-02,0,call,16
37,2022-01-05,0,call,73
38,2022-01-04,0,call,97
39,2022-01-01,0,traffic,63
40,2022-01-04,0,traffic,40
41,2022-01-02,0,call,37
42,2022-01-05,0,call,78
43,2022-01-03,0,sms,32
44,2022-01-05,0,sms,0
45,2022-01-01,0,sms,91
46,2022-01-04,0,traffic,98
47,2022-01-05,0,traffic,69
48,2022-01-05,0,traffic,19
49,2022-01-05,0,sms,77
50,2022-01-05,0,traffic,82
51,2022-01-02,0,traffic,61
52,2022-01-05,0,call,89
53,2022-01-01,0,sms,56
54,2022-01-05,0,call,99
55,2022-01-04,0,call,27
56,2022-01-01,0,call,4
57,2022-01-02,0,sms,42
58,2022-01-01,0,sms,38
59,2022-01-04,0,call,91
60,2022-01-05,0,call,0
61,2022-01-01,0,traffic,0
62,2022-01-05,0,sms,73
63,2022-01-01,0,call,93
64,2022-01-03,0,call,87
65,2022-01-03,0,sms,12
66,2022-01-03,0,call,32
67,2022-01-05,0,traffic,90
68,2022-01-01,0,call,93
69,2022-01-04,0,sms,78
70,2022-01-01,0,traffic,68
71,2022-01-04,0,sms,90
72,2022-01-05,0,traffic,83
73,2022-01-01,0,traffic,74
74,2022-01-03,0,traffic,64
75,2022-01-01,0,sms,92
76,2022-01-02,0,call,49
77,2022-01-03,0,sms,90
78,2022-01-03,0,sms,24
79,2022-01-01,0,call,61
80,2022-01-02,0,sms,59
81,2022-01-03,0,call,42
82,2022-01-03,0,sms,46
83,2022-01-01,0,call,16
84,2022-01-05,0,traffic,81
85,2022-01-02,0,sms,83
86,2022-01-04,0,call,82
87,2022-01-01,0,call,90
88,2022-01-04,0,sms,87
89,2022-01-02,0,traffic,53
90,2022-01-01,0,call,77
91,2022-01-04,0,traffic,9
92,2022-01-01,0,call,42
93,2022-01-01,0,sms,80
94,2022-01-04,0,call,68
95,2022-01-02,0,call,36
96,2022-01-01,0,sms,57
97,2022-01-02,0,traffic,76
98,2022-01-02,0,sms,47
99,2022-01-02,0,call,13
100,2022-01-02,0,traffic,94
101,2022-01-05,0,traffic,17
102,2022-01-04,1,traffic,50
103,2022-01-02,1,traffic,69
104,2022-01-04,1,sms,71
105,2022-01-05,1,traffic,11
106,2022-01-02,1,sms,29
107,2022-01-03,1,call,54
108,2022-01-02,1,sms,21
109,2022-01-04,1,call,75
110,2022-01-05,1,call,55
111,2022-01-01,1,traffic,63
112,2022-01-03,1,traffic,7
113,2022-01-03,1,call,40
114,2022-01-01,1,traffic,74
115,2022-01-05,1,call,74
116,2022-01-04,1,traffic,55
117,2022-01-02,1,call,32
118,2022-01-05,1,traffic,68
119,2022-01-02,1,sms,75
120,2022-01-05,1,call,67
121,2022-01-05,1,sms,77
122,2022-01-03,1,traffic,56
123,2022-01-03,1,call,31
124,2022-01-02,1,call,54
125,2022-01-02,1,sms,38
126,2022-01-02,1,sms,44
127,2022-01-05,1,traffic,10
128,2022-01-05,1,call,80
129,2022-01-04,1,traffic,23
130,2022-01-02,1,call,71
131,2022-01-05,1,sms,68
132,2022-01-02,1,call,84
133,2022-01-03,1,call,45
134,2022-01-03,1,call,53
135,2022-01-01,1,call,52
136,2022-01-01,1,call,16
137,2022-01-02,1,sms,18
138,2022-01-01,1,call,6
139,2022-01-04,1,traffic,76
140,2022-01-01,1,sms,59
141,2022-01-04,1,traffic,26
142,2022-01-01,1,sms,31
143,2022-01-03,1,sms,49
